"startDate","endDate","finished","t_welcome_fc","t_welcome_lc","t_welcome_ps","t_welcome_cc","welcome","require","t_age_fc","t_age_lc","t_age_ps","t_age_cc","age","t_hltref_fc","t_hltref_lc","t_hltref_ps","t_hltref_cc","hltref","t_abrtch_fc","t_abrtch_lc","t_abrtch_ps","t_abrtch_cc","abrtch","t_gaymarry_fc","t_gaymarry_lc","t_gaymarry_ps","t_gaymarry_cc","gaymarry","t_gayadopt_fc","t_gayadopt_lc","t_gayadopt_ps","t_gayadopt_cc","gayadopt","t_attchk1_fc","t_attchk1_lc","t_attchk1_ps","t_attchk1_cc","attchk1","t_abrthlth_fc","t_abrthlth_lc","t_abrthlth_ps","t_abrthlth_cc","abrthlth","t_abrtinc_fc","t_abrtinc_lc","t_abrtinc_ps","t_abrtinc_cc","abrtinc","t_abrtbd_fc","t_abrtbd_lc","t_abrtbd_ps","t_abrtbd_cc","abrtbd","t_fedwlf_fc","t_fedwlf_lc","t_fedwlf_ps","t_fedwlf_cc","fedwlf","t_abrtfin_fc","t_abrtfin_lc","t_abrtfin_ps","t_abrtfin_cc","abrtfin","t_attchk2_fc","t_attchk2_lc","t_attchk2_ps","t_attchk2_cc","attchk2_c1","attchk2_c2","attchk2_c3","attchk2_c4","attchk2_c5","attchk2_c6","attchk2_c7","attchk2_c8","attchk2_c9","attchk2_c10","attchk2_c11_C","attchk2_c12_C","t_abrtrpe_fc","t_abrtrpe_lc","t_abrtrpe_ps","t_abrtrpe_cc","abrtrpe","t_fedpoor_fc","t_fedpoor_lc","t_fedpoor_ps","t_fedpoor_cc","fedpoor","t_fedenv_fc","t_fedenv_lc","t_fedenv_ps","t_fedenv_cc","fedenv","t_fedschool_fc","t_fedschool_lc","t_fedschool_ps","t_fedschool_cc","fedschool","t_abrtdth_fc","t_abrtdth_lc","t_abrtdth_ps","t_abrtdth_cc","abrtdth","t_drill_fc","t_drill_lc","t_drill_ps","t_drill_cc","drill","t_gwhap_fc","t_gwhap_lc","t_gwhap_ps","t_gwhap_cc","gwhap","t_gwhow_fc","t_gwhow_lc","t_gwhow_ps","t_gwhow_cc","gwhow","t_gwhow2_fc","t_gwhow2_lc","t_gwhow2_ps","t_gwhow2_cc","gwhow2","t_aauni_fc","t_aauni_lc","t_aauni_ps","t_aauni_cc","aauni","t_aawork_fc","t_aawork_lc","t_aawork_ps","t_aawork_cc","aawork","t_gun_fc","t_gun_lc","t_gun_ps","t_gun_cc","gun","t_comm_fc","t_comm_lc","t_comm_ps","t_comm_cc","comm","pref","pref2","sex","edu","comment","tcompl","group","self_placement","party_placement"
2015-02-04 23:57:00,2015-02-05 00:01:00,1,0,0,3.16,0,1,1,NA,NA,NA,NA,34,7.494,8.608,9.325,2,2,5.567,5.567,6.454,1,1,5.792,5.792,6.756,1,1,3.338,3.338,4.302,1,1,0,0,12.291,0,-99,15.901,15.901,16.812,1,1,5.516,5.516,6.257,1,1,3.09,3.09,4.027,1,1,4.271,4.867,5.46,2,2,4.063,4.063,4.903,1,1,11.58,15.924,17.373,2,0,0,0,0,0,0,0,0,0,0,1,1,3.378,3.378,4.233,1,1,3.677,3.677,4.332,1,2,3.152,3.152,3.991,1,1,2.711,2.711,3.497,1,1,3.581,3.581,4.206,1,1,7.02,7.02,7.877,1,3,10.063,10.063,10.981,1,1,4.845,4.845,6.622,1,1,NA,NA,NA,NA,NA,7.062,7.062,8.228,1,2,4.907,4.907,5.769,1,2,4.821,4.821,5.529,1,1,12.378,12.378,13.289,1,4,3,"liberal",2,3,"",4,1,0,0
2015-02-04 22:04:00,2015-02-04 22:09:00,1,0,0,90.732,0,1,1,NA,NA,NA,NA,26,4.762,5.89,6.564,2,1,4.149,4.149,4.71,1,1,3.493,3.493,5.327,1,1,2.743,2.743,3.292,1,1,0,0,9.938,0,-99,7.937,7.937,8.849,1,1,6.525,6.525,7.101,1,1,3.52,3.52,5.072,1,1,4.288,4.288,4.979,1,1,4.807,4.807,5.497,1,1,14.905,15.393,23.073,2,0,0,0,0,0,0,0,0,0,0,1,1,3.899,3.899,4.501,1,1,2.894,2.894,3.632,1,1,3.047,3.047,3.689,1,2,7.44,7.44,8.063,1,2,10.157,10.157,10.87,1,1,6.017,6.017,6.586,1,3,9.198,9.198,10.555,1,1,5.616,5.616,7.386,1,1,NA,NA,NA,NA,NA,8.125,8.125,8.701,1,2,7.899,8.931,9.677,2,2,4.916,5.452,6.411,2,1,16.052,16.052,18.268,1,2,1,"",2,2,"I think it went well  thank you ",5,2,0,0
2015-02-05 00:18:00,2015-02-05 00:21:00,1,0,0,8.146,0,1,1,NA,NA,NA,NA,33,7.578,7.578,8.952,1,1,5.902,5.902,6.629,1,1,3.318,3.318,6.349,1,1,2.711,2.711,3.716,1,1,0,0,12.718,0,-99,7.34,7.34,8.851,1,1,5.791,5.791,8.244,1,1,3.536,3.536,4.712,1,1,4.397,4.397,5.595,1,3,7.62,7.62,9.268,1,2,11.377,11.817,13.083,2,0,0,0,0,0,0,0,0,0,0,1,1,2.593,2.593,4.031,1,1,3.955,3.955,5.322,1,2,2.461,2.461,3.348,1,1,2.405,2.405,3.291,1,1,2.953,2.953,4.303,1,1,5.206,5.206,6.06,1,2,5.753,5.753,7.152,1,1,3.572,3.572,4.547,1,3,NA,NA,NA,NA,NA,6.265,6.265,7.887,1,2,4.13,4.13,5.569,1,2,4.44,4.44,5.174,1,1,6.978,6.978,8.57,1,4,1,"",2,5,"none",3,2,44,40
2015-02-04 22:55:00,2015-02-04 22:58:00,1,0,0,1.886,0,1,1,NA,NA,NA,NA,24,3.922,3.922,8.025,1,3,3.159,3.159,4.472,1,1,6.547,6.547,7.375,1,1,1.461,3.148,5.857,4,1,0,0,5.277,0,-99,5.362,6.172,7.203,3,1,2.129,2.129,7.266,1,1,1.094,2.861,3.353,3,1,2.511,3.287,4.228,2,3,5.85,5.85,6.476,1,3,5.726,6.053,6.972,2,0,0,0,0,0,0,0,0,0,0,1,1,2.085,2.085,2.801,1,1,3.031,3.031,4.602,1,3,1.436,2.2,2.792,2,2,0.935,0.935,1.538,1,2,1.803,1.803,3.036,1,1,2.429,2.429,3.267,1,3,4.82,4.82,5.581,1,1,2.963,2.963,4.172,1,1,NA,NA,NA,NA,NA,4.108,8.159,8.965,2,2,2.362,2.362,5.294,1,2,3.793,3.793,4.693,1,3,5.186,6.367,7.039,5,2,3,"Independent",1,3,"",3,2,50,50
2015-02-04 22:16:00,2015-02-04 22:21:00,1,0,0,2.279,0,1,1,NA,NA,NA,NA,56,3.793,3.793,5.596,1,1,4.398,4.398,7.816,1,1,4.344,4.344,5.73,1,1,3.159,3.159,4.365,1,1,0,0,5.069,0,-99,5.024,5.024,10.273,1,1,3.72,4.92,7.207,2,1,6.996,6.996,8.428,1,1,4.462,4.462,8.096,1,1,5.123,6.271,6.962,2,1,8.234,10.15,12.984,3,0,0,0,0,0,0,0,0,0,0,1,1,2.925,2.925,4.874,1,1,3.974,3.974,5.071,1,1,3.647,3.647,5.205,1,2,2.003,2.186,3.986,2,1,3.162,4.409,5.539,2,1,3.792,3.792,5.506,1,1,4.276,11.873,13.239,2,1,3.991,5.936,7.637,2,2,NA,NA,NA,NA,NA,11.064,15.313,16.814,2,3,8.312,8.312,11.146,1,3,8.096,8.096,9.23,1,2,6.475,6.475,8.543,1,4,1,"",2,2,"",5,2,13,28
2015-02-04 22:13:00,2015-02-04 22:17:00,1,0,0,2.982,0,1,1,NA,NA,NA,NA,41,8.46,8.46,9.935,1,1,2.818,2.818,3.931,1,1,68.731,68.731,69.988,1,1,1.936,1.936,2.936,1,1,0,0,7.033,0,-99,9.422,9.422,12.361,1,1,6.09,6.09,8.676,1,1,5.116,6.028,9.102,2,1,3.095,3.095,4.377,1,1,3.14,3.14,4.421,1,1,5.224,5.592,7.021,2,0,0,0,0,0,0,0,0,0,0,1,1,6.872,6.872,7.608,1,1,2.063,2.063,3.079,1,1,0.732,0.732,1.796,1,1,1.736,1.736,2.528,1,1,0.843,0.843,2.08,1,1,1.533,4.189,5.059,2,2,3.491,3.491,4.804,1,1,1.519,1.519,2.704,1,1,NA,NA,NA,NA,NA,6.539,6.539,7.323,1,1,2.533,2.533,3.373,1,1,1.923,1.923,2.85,1,1,2.432,2.432,4.089,1,1,1,"",2,4,"Thanks ",4,2,0,0
2015-02-04 22:34:00,2015-02-04 22:39:00,1,0,0,10.976,0,1,1,NA,NA,NA,NA,49,8.51,9.491,10.584,2,1,5.156,5.156,6.036,1,3,3.602,3.602,5.861,1,1,5.248,6.066,7.143,2,1,0,0,14.868,0,-99,7.376,7.376,9.079,1,3,10.697,11.461,12.736,2,1,5.864,5.864,7.223,1,1,4.171,4.841,5.795,2,1,6.704,6.704,8.017,1,2,19.445,20.35,32.741,2,0,0,0,0,0,0,0,0,0,0,1,1,5.267,5.267,6.672,1,3,3.584,10.122,11.546,3,1,4.861,5.532,6.593,2,1,2.64,2.64,4.036,1,1,6.287,6.287,7.679,1,3,4.193,4.193,5.524,1,3,9.909,9.909,11.301,1,1,5.548,5.548,7.626,1,1,NA,NA,NA,NA,NA,8.624,8.624,11.667,1,1,5.555,5.555,6.941,1,1,5.916,5.916,7.712,1,1,14.407,14.407,16.141,1,3,1,"",2,4,"",5,1,25,0
2015-02-04 22:04:00,2015-02-04 22:08:00,1,0,0,1.277,0,1,1,NA,NA,NA,NA,35,6.194,7.898,8.548,2,2,3.347,7.587,9.367,3,1,2.964,2.964,4.688,1,1,2.554,2.554,3.557,1,1,3.12,3.888,11.676,2,-99,5.649,5.649,10.869,1,1,2.625,2.625,3.805,1,1,0.846,0.846,4.224,1,1,3.562,3.562,4.255,1,3,5.177,5.177,6.972,1,2,15.126,16.245,21.233,3,0,0,0,0,0,0,0,0,0,0,1,1,2.71,3.446,4.186,2,1,4.935,4.935,5.868,1,1,2.608,2.608,3.293,1,1,1.484,1.484,2.168,1,1,3.059,3.883,4.336,2,1,2.778,2.778,7.319,1,1,6.215,6.215,7.484,1,1,2.727,2.727,3.978,1,1,NA,NA,NA,NA,NA,6.447,13.239,14.129,2,2,2.015,2.015,2.988,1,2,3.586,3.586,4.79,1,1,8.039,10.846,11.746,2,5,3,"none   independent  i suppose ",1,4,"",4,2,50,50
2015-02-04 23:05:00,2015-02-04 23:08:00,1,0,0,4.335,0,1,1,NA,NA,NA,NA,22,4.915,7.218,8.03,4,1,1.889,3.285,3.942,3,1,1.959,1.959,3.333,1,1,1.533,1.533,2.372,1,1,0,0,13.19,0,-99,4.519,4.519,8.392,1,1,4.058,4.058,7.276,1,1,4.374,5.009,5.905,2,1,1.958,1.958,2.96,1,2,1.939,2.484,3.42,2,1,9.092,21.798,26.219,8,0,0,0,0,0,0,0,0,0,0,1,1,1.953,3.97,4.443,4,1,1.896,1.896,2.789,1,2,1.687,1.687,3.392,1,2,1.446,1.446,2.458,1,1,1.831,3.294,3.849,2,1,4.679,4.679,5.617,1,3,2.48,2.48,5.001,1,1,2.785,2.785,3.711,1,1,NA,NA,NA,NA,NA,4.984,5.625,6.422,2,3,3.339,4.052,4.506,2,3,3.15,3.15,3.997,1,3,5.054,7.494,8.672,4,5,1,"",2,4,"",3,1,41,25
2015-02-04 23:41:00,2015-02-04 23:45:00,1,0,0,5.167,0,1,1,NA,NA,NA,NA,35,15.582,15.582,16.624,1,2,7.509,7.509,8.487,1,1,11.853,11.853,13.311,1,2,3.206,3.206,3.856,1,1,0,0,7.778,0,-99,10.027,10.027,11.044,1,1,5.16,5.16,6.106,1,1,3.448,3.448,4.178,1,1,3.859,3.859,4.557,1,2,3.982,3.982,4.92,1,1,10.905,11.281,13.651,2,0,0,0,0,0,0,0,0,0,0,1,1,5.316,5.316,6.077,1,1,3.979,3.979,4.669,1,2,3.181,3.181,4.039,1,2,3.82,3.82,4.51,1,2,3.501,3.501,4.214,1,1,6.184,6.184,6.946,1,1,8.015,8.015,9.064,1,1,8.528,8.528,9.353,1,1,NA,NA,NA,NA,NA,8.373,8.373,10.143,1,2,6.817,6.817,7.531,1,2,8.979,8.979,10.317,1,1,9.193,9.193,10.123,1,2,1,"",1,5,"",4,2,45,25
