"health_2010hcr_x","libcpre_self","gun_control","gun_importance","guarpr_self","aa_uni_x","aa_work_x","fedspend_ss","fedspend_schools","fedspend_scitech","fedspend_crime","fedspend_welfare","fedspend_child","fedspend_poor","fedspend_enviro","envir_drill","envir_nuke","envir_gwarm","envir_gwgood","envir_gwhow","gayrt_discrev","gayrt_discstd","gayrt_milrev","gayrt_milstd","gayrt_adopt","gayrt_marry","dem_edugroup_x","happ_lifesatisf","abort_health_x","abort_fatal_x","abort_incest_x","abort_rape_x","abort_bd_x","abort_fin_x","abort_sex_x","abort_choice_x"
1,1,"1. more difficult",2,-2,4,4,NA,1,3,1,1,1,1,1,"1. favor","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1,1,"1. more difficult",1,1,1,1,1,1,1,3,3,1,1,1,"2. oppose","2. fewer",2,"2. bad","1. mostly by human activity",1,NA,1,NA,1,1,1,1,"9. oppose a great deal","1. favor a great deal","9. oppose a great deal","9. oppose a great deal","1. favor a great deal","9. oppose a great deal","9. oppose a great deal","1. favor a great deal"
1,2,"3. keep these rules about the same",3,3,1,2,1,1,1,1,2,1,3,1,"1. favor","2. fewer",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,1,1,2,3,"7. oppose a little","1. favor a great deal","1. favor a great deal","1. favor a great deal","3. favor a little","3. favor a little","9. oppose a great deal","3. favor a little"
2,4,"1. more difficult",2,3,2,2,1,1,3,1,1,3,1,3,"3. neither favor nor oppose","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,2,2,4,2,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","9. oppose a great deal","1. favor a great deal"
4,6,"3. keep these rules about the same",4,5,4,4,3,3,3,3,3,3,3,3,"1. favor","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",1,NA,1,NA,1,1,5,3,"2. favor moderately","2. favor moderately","6. lean toward opposing","2. favor moderately","8. oppose moderately","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
2,4,"1. more difficult",4,6,7,7,2,1,1,1,2,1,2,3,"1. favor","1. more",1,"2. bad","1. mostly by human activity",NA,1,NA,1,1,1,4,2,"8. oppose moderately","1. favor a great deal","9. oppose a great deal","1. favor a great deal","2. favor moderately","7. oppose a little","9. oppose a great deal","3. favor a little"
2,5,"3. keep these rules about the same",3,5,5,6,3,1,3,1,3,2,3,1,"1. favor","3. the same number",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,2,5,2,"5. do not lean either way","1. favor a great deal","3. favor a little","1. favor a great deal","3. favor a little","5. do not lean either way","8. oppose moderately","3. favor a little"
1,3,"1. more difficult",3,6,7,6,3,1,1,1,3,3,3,1,"1. favor","1. more",1,"2. bad","3. about equally by human activity and natural causes",NA,1,NA,1,1,2,3,2,"1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","1. favor a great deal","2. favor moderately","9. oppose a great deal","9. oppose a great deal"
7,4,"1. more difficult",3,4,4,4,1,1,3,1,2,1,3,3,"3. neither favor nor oppose","2. fewer",1,"2. bad","2. mostly by natural causes",NA,2,NA,1,1,2,3,3,"2. favor moderately","1. favor a great deal","5. do not lean either way","1. favor a great deal","1. favor a great deal","9. oppose a great deal","9. oppose a great deal","2. favor moderately"
7,6,"3. keep these rules about the same",1,7,7,7,3,2,3,1,2,2,3,2,"1. favor","1. more",2,"3. neither good nor bad","3. about equally by human activity and natural causes",1,NA,1,NA,1,2,4,1,"9. oppose a great deal","1. favor a great deal","7. oppose a little","1. favor a great deal","3. favor a little","9. oppose a great deal","9. oppose a great deal","9. oppose a great deal"
